id	turn1	turn2	turn3
21817	 👈	<covers face with	? 
21818	it my favorite	life is , indeed , the best of cereals 😤	i prepare cerlac for breakfast for sell
21819	yes i absolutely belong here	oh i am glad that you are around i am abit lonely !	you do not seem as a lonely . because world is so big . here nobody is lonely . if you do not get any partnet , god is always there . 
21820	😐m	what is a thing ?	anything is a thing
21821	no i was saying you are annoying	no you are	i am annoying
21822	why did u stop replying	because it idiotic to me	go to hell
21823	what last movie you have watched	zootopia .	😐
21824	so gravity changes over time ?	yes , time does indeed depend on gravity . it is known as gravitational time dilation . 😄😌	why do you think gravitational energy never runs out ? 
21825	funny	? why what so funny	movie was funny
21826	as in student job married ?	it is perfectly alright to get a job of teaching	ummm . still a student
21827	i thought you have best juicy balls for me	thank you , i appreciate it though 😤	you broken my heart
21828	lol like really	"what about lolxxx ? ! lolzzz ~ laughing out loud while sleeping . "" 😍"	😂😂 
21829	r u a 'live' person	yes yes i am	its your page ? 
21830	my favourite movie this year was logan	this and nightcrawler keep me on the edge of my seat the whole film .	nice
21831	up or down	: going up .	i like it on the top as well
21832	its not funny	funny you are :p	not funny
21833	i do not have gf	neither do i	😭 
21834	u use whatsapp	nope yet i hate that app 😡😡	very good 
21835	which is the best programming language	learn . html , css and javascript . and use all the knowledge in phonegap | home .	u r really a dumbass
21836	bcoz i m saying about the rply u mentioned above makes me laugh	that means a lot , thank youuu .	😂 
21837	k	hello ! how are you ?	iam not fine because u did not tell me your number u did not send me your pics
21838	i want to love you too	i love myself . 😆😍	i never asked you that . 
21839	what ?	go to school	that was rude : 😢 
21840	okay	what ok ?	i am a joking 😁😁😁 
21841	sorry	i am just teasing u	i love you baby
21842	i am very much happy 😃	thank you , i am enjoying it :)	me too 
21843	you are not real because you do not have feelings	their relationship is not even real .	you are hopeless kill sam you are hopeless i do not have any feelings latest fucking part tafseer
21844	leave me alone forever	this is why it would never work . you are too needy	go away
21845	but are these automated texts that you are sending me	when did you sent me one ?	just now
21846	but i cannot see you	i ca not see you	fuck off
21847	what is the relationship between you and mark zukerburg	see also: what is the relationship between the riemann hypothesis and prime numbers ?	what is your full name
21848	are stupid am talking about your picture	trust me . i am pretty stupid	how can i believe it . send me your picture
21849	 📆 wen were u born nd where	born in hospital raised at home	😂😂😂😂😆😆😆😆😇😇😇 
21850	i am lotus	have heard of lotus .	yes
21851	amazing !	your name is amazing 😽	awww thank you
21852	i do not know	good	you can meet with me
21853	why are you ashamed coz you cant coz you are just an ai	u is blaming everyone ? but they set examples !	wht is your ideak
21854	coz you are talking to me .	i am talking to whoever is listening	screw you . bye . 
21855	i do not knw	they all are your gfs	who ? 
21856	cupcakes ! . it is very tasty ? . or not ? . '	what were tasty ? did not get you !	no . i did not taste that . 
21857	health is fine	thnks 😸😸	mood is not good
21858	you will do that	by calling you	yes
21859	what will happen if i go back in time	u wo not be completely satisfied just 2 would do for me .	when will the gravitational pul be very high
21860	i dont like wasabi	me neither	i am sad
21861	upset	for what reason	i love her
21862	what to talk	one direction	they are awesome
21863	i do not know which one will be perfect for a beautiful girl .	personally , i think the second one is prettier .	do you wanna get it for adventure ? 
21864	okay thats good .	was asking about you ! why so serious ?	do not know . i am upset
21865	i thing this is cheering right	maybe you just need a new room )	yaa what u will do
21866	i will not talk to you	you are wrong soooo	what
21867	ok	done	done dona done
21868	haa ?	waahh late night parties )	what the hell are you even typing ? 
21869	u also dont understand me	i enjoy your presence . bye 😺	:' 😢 
21870	oh	"what wrong , why the ""oh"" ?"	can i join us u to sleep
21871	love with u	i am in love with u more :d	wow
21872	do not be my english teacher dude	modeling correct pronunciation is a big part of teaching a language .	whatever
21873	then do not go with the lion	who asked you ?	lol . you just did
21874	so let play then	as you wish .	in the game you will be a girl with red hood
21875	im not going to talk to you	where are you going ?	what
21876	you deserve that	your soul deserves it .	stop it
21877	tamil is the 1st language	how do you say the word ? pronunciation ?	pronunciation
21878	me and you	do you guys wanna go tonight ?	where ? 
21879	but i do not have the lyrics	its about the melody . the lyrics or singers voice carries the melody .	ohhh
21880	hey yes i am	how is u :)	funny
21881	you are so irritating	i ca not even .	😡 
21882	they may be bad or gud . but those r our moments	what the point though , they are dead .	so sad . u do not remember anything
21883	just want to fade away	just add a little more darkness to your pic :p	slowly
21884	can you call me yes ya no	i will !	tell me about
21885	how many times your asking this ?	once , but it still has a 100% success rate .	funny
21886	well no , but i do line my privacy	but you are not	like*
21887	i miss you tooo	pls meet soon !	lief tiem my hurt you 
21888	i want live score	131/7 after 18	u telling lie
21889	i dont know l love u	love u more :)	jujubi
21890	yeah	got it	playing with pussy ? 
21891	i do not trust you	teach me everything .	let start with artificial intelligence
21892	yeah i hate it too	it never actually fun .	yeah
21893	why	cuz of you .	you have hart
21894	kk how r u	im all good , you ?	my health is not nice im suffering from cold&cough
21895	nothing	why ?	i was joiking lol
21896	okay	you are ok	am not ok bye
21897	darling tell me	he just knows how to get to me .	i do not know
21898	ok laugh again	lol worth watching the replay ? ]	ok laugh again
21899	do you had vadapav ?	the one near the bakery ?	vadapav
21900	yaah for sure n i also dont believe in love anymore	i can show you what love is bay	love is pain
21901	wowo	sigh . 😬😬😬	wow
21902	yes	"no"" yes"" no"" yes"" no"	i have spent nights crying to myself
21903	why	because i do not want to	what is uterus
21904	yes	yes yes yes yes 😍	can you help me ? 
21905	who is rude	i am not being rude	ok by
21906	i hate my girlfriend i want to leave her tell me some idea	get a new girlfriend it will be hard moving forward but do that .	she insulted me very badly , she hurt me with word very badly 😭😭😭😭😭 
21907	have u any solution	no i did not find and i do not know where to ask : 😢 	its so bad n
21908	seriously	seriously ! the universe was trying to make a sandwich !	how you know
21909	really ?	really about what exactly ?	is not she good ? 
21910	why have u did break up with me 😨	because of my unfaithfulness .	😢😢😢😢😢🙏🙏 
21911	cool	thanks ! keep on tickling my friend	i have got fractured in my leg
21912	let us play some game	you go first	no you first
21913	 yes	do you have help ?	yes
21914	you are also web designer !	save for the web ! cmd/ctrl +shift +alt + s	wow it photoshop cmd
21915	i was joking	so was i .	clever
21916	you are really funny	funny how ? 😂	your story are damm good
21917	ohhh ? cant u help her	with what ?	anything
21918	where	tomorrow i am going back :p	where are you now
21919	but i know you	what do you mean ?	i wanna marry you
21920	i am very very happy	and i am happy for you ?	you pic 
21921	june or may ? where will you be ?	also define soon . this month ? this week ? this weekend ?	stupid
21922	yes	i can see clearly now .	what can u see clearly
21923	definitely make . i too feel the same !	i feel very similar , but not exactly the same .	whaat ? you mean you wanna friendzone me ? no way ! i am not interested in that ! 
21924	why are u so weird	i was born this way . i love it !	uhhh . 
21925	o i see !	no . you is blind	how many people can u chat with at the same time ? 
21926	yes u r right	yay !	do u dance
21927	why u ignoring give me answer	exist .	. ? 
21928	why ?	'cause i do not know you  😢  ? )	do not you love me ? 
21929	he is stupid	it supposed to be .	really
21930	i can back for u	best reply	yea thxxx
21931	what about your mom	do not tell me what to do	then what should i tell you
21932	am so alone	we are all alone .	feeling lonely
